,Category,Supplier,Region,Store_Size,Snapshot_Date,Season,Current_Stock,Daily_Sales,Reorder_Level,Lead_Time_Days,Unit_Price,Discount_Percent,Shelf_Capacity,Promotion,Holiday_Week,Days_Since_Last_Restock,Customer_Demand_Index,Weather_Impact,Is_Perishable,Stock_Coverage_Days,Price_per_Demand,Supplier_Lead_Reliability,Store_Age_Years,Last_Audit_Score,Competitor_Price_Index,Random_Noise_A,Out_of_Stock
0,Meat,Supplier_Q1,South,Small,7/22/2025,Winter,12,3.05,19,3,3.81,0,30,No,No,4,73,Low,1,3.81,1.073,1.167,23,83.8,4.35,41.24,0
1,Meat,Supplier_B2,East,Small,8/17/2025,Winter,38,1.56,8,2,6.57,0,47,No,No,1,63.4,Medium,1,22.535,3.189,0.929,10,65.5,6.04,50.37,0
2,Dairy,Supplier_E2,Central,Medium,6/8/2025,Winter,15,4.05,6,1,4.69,0,45,No,No,0,83.3,Medium,1,3.61,1.031,0.724,30,74.9,4.88,62.16,0
3,Bakery,Supplier_O1,North,Large,6/21/2025,Spring,55,9.27,15,1,4.17,0,81,No,Yes,1,82.4,Low,1,5.87,0.427,1.148,17,92.8,5.18,38.85,0
4,Produce,Supplier_F2,Central,Medium,6/1/2025,Winter,39,3.25,8,2,2.78,0,55,Yes,No,2,80.9,Medium,1,11.64,0.741,1.242,2,99.4,3.03,34.46,0
5,Beverages,Supplier_T1,South,Medium,8/13/2025,Fall,22,2.49,33,6,2.89,0,36,No,No,4,50.5,Low,0,8.49,0.967,0.812,17,86.7,2.52,69.49,0
6,Household,Supplier_P1,West,Large,7/27/2025,Spring,15,5.46,22,2,3.19,0,35,No,No,1,62.9,High,0,2.7,0.535,0.975,6,73.3,3.93,61.15,0
7,Canned Goods,Supplier_Q1,East,Small,8/27/2025,Winter,5,2.24,13,3,1.37,0,36,No,No,6,62.1,Low,0,2.14,0.5,0.977,18,71.7,1.51,79.23,0
8,Bakery,Supplier_Y1,North,Small,7/10/2025,Winter,12,0.85,6,3,2.98,0,13,No,No,1,51.7,Low,1,12.63,2.207,0.977,6,85.5,2.92,47.95,0
9,Beverages,Supplier_Z1,Central,Medium,8/25/2025,Fall,14,0.49,4,3,5.13,0,25,No,No,1,50.9,Medium,0,22.535,4.277,0.938,29,76.8,6.24,46.45,0
10,Dairy,Supplier_G2,North,Medium,7/20/2025,Spring,12,0.42,3,1,3.8,0,24,No,No,4,50.4,High,1,22.535,4.13,0.74,4,61.1,3.37,54.84,0
11,Canned Goods,Supplier_I1,Central,Medium,7/14/2025,Fall,20,1.51,7,3,2.36,0,42,Yes,No,0,66.4,Low,0,12.42,1.174,1.058,30,72,2.19,79.21,0
12,Snacks,Supplier_B1,South,Large,7/2/2025,Spring,9,3.14,8,2,6.02,0,35,No,Yes,8.5,72,Medium,0,2.78,1.654,0.71,29,96.5,6.98,49.64,0
13,Bakery,Supplier_H1,West,Large,8/17/2025,Summer,10,2.66,3,1,1.08,0,14,No,No,0,57.7,High,1,3.62,0.342,0.97,33,71.4,1.06,64,0
14,Snacks,Supplier_J2,Central,Medium,8/27/2025,Winter,8,3.22,28,4,1.76,0,25,Yes,No,7,66,Low,0,2.41,0.473,1.102,22,71,1.75,60.77,0
15,Personal Care,Supplier_S1,North,Medium,8/3/2025,Spring,0,1.52,5,1,4.02,0,20,No,Yes,3,72.4,Low,0,0,1.99,0.748,15,83.9,4.92,34.63,1
16,Snacks,Supplier_R2,Central,Medium,8/26/2025,Summer,63,11.125,43,1,3.68,0,104.5,No,No,1,100,High,0,5.99,0.198,0.718,21,64.4,3.3,51.03,0
17,Beverages,Supplier_P2,North,Large,8/1/2025,Fall,30,11.125,60,4,2.01,0,104.5,No,No,1,92.7,Low,0,2.08,0.136,0.94,11,86,2.13,45.71,1
18,Produce,Supplier_M2,East,Small,8/17/2025,Summer,28,2.72,10,2,2.88,0,49,No,Yes,4,67.6,Medium,1,9.93,0.894,0.816,26,86.6,3.27,41.14,0
19,Dairy,Supplier_H1,East,Medium,6/4/2025,Fall,0,2.87,8,2,4.78,0,50,Yes,No,2,64.5,Low,1,0,1.418,0.97,5,65.8,4.92,32.81,1
20,Frozen,Supplier_M1,South,Small,6/4/2025,Spring,9,2.98,11,2,8.73,0,51,Yes,No,0,77.2,Low,1,2.92,2.509,1.004,21,81.6,7.68,70.54,0
21,Produce,Supplier_V1,West,Small,7/20/2025,Winter,0,0.36,2,5,2.72,0,21,No,No,6,39.7,Medium,1,0,3.163,1.08,12,62.4,2.97,73.37,1
22,Produce,Supplier_S1,South,Medium,7/31/2025,Spring,0,4.35,6,1,2.14,0,65,No,No,3,44.4,Medium,1,0,0.441,0.748,17,89.1,1.91,59.12,1
23,Produce,Supplier_L2,Central,Large,6/23/2025,Fall,12,11.125,22,1,2.59,0,48,Yes,No,8.5,100,High,1,0.95,0.2,0.881,22,67,2.87,51.11,0
24,Dairy,Supplier_F1,West,Large,6/23/2025,Spring,13,5.99,34,5,4.32,0,38,Yes,No,4,66.5,Medium,1,2.13,0.666,0.847,1,71.8,4.09,58.82,1
25,Meat,Supplier_C1,Central,Large,7/9/2025,Summer,24,1.64,5,1,7.96,0,29,No,No,0,50.1,High,1,13.79,3.72,0.988,7,70.7,9.84,53.71,0
26,Personal Care,Supplier_K1,South,Small,7/12/2025,Fall,51,2.73,2,1,4.64,0,54,No,No,5,63.5,Medium,0,18.02,1.437,0.827,22,66.4,4.9,40.02,0
27,Canned Goods,Supplier_M1,West,Medium,7/7/2025,Winter,1,1.71,2,1,7.84,0,37,Yes,No,3,77.1,High,0,0.55,3.548,1.004,21,79.6,7.34,31.07,1
28,Snacks,Supplier_Y1,West,Small,8/3/2025,Winter,18,0.71,2,1,7.21,0,27,Yes,No,0,51,Medium,0,22.22,4.277,0.977,23,99.2,8.92,51.66,0
29,Produce,Supplier_A1,North,Large,6/22/2025,Summer,9,2.68,15,4,4.48,0,28,No,No,8.5,57,Low,1,3.24,1.409,0.722,20,79.1,4.63,43.79,1
30,Snacks,Supplier_W1,Central,Large,6/24/2025,Summer,40,4.79,41,5,3.16,0,49,No,No,3,67.6,Medium,0,8.18,0.597,1.245,29,66.1,2.71,20.36,0
31,Frozen,Supplier_K2,North,Large,7/2/2025,Spring,50,5.33,11,2,5.58,0,61,No,No,2,67.1,High,1,9.21,0.957,1.167,26,66.7,5.54,43.8,0
32,Household,Supplier_F2,West,Large,6/21/2025,Spring,63,7.84,40,2,2.68,0,97,No,No,5,79.3,Medium,0,7.93,0.321,1.242,28,80.1,3.16,51.67,0
33,Dairy,Supplier_L1,Central,Large,6/14/2025,Fall,21,4.95,26,4,2.99,0,29,No,No,1,68.3,Low,1,4.16,0.549,1.173,28,90.5,3.46,29.85,0
34,Snacks,Supplier_Q1,North,Small,8/29/2025,Summer,1,1.23,19,7,1.11,0,32,No,Yes,3,60.4,Medium,0,0.75,0.642,0.977,8,77.6,1.35,65.08,0
35,Meat,Supplier_Q1,North,Large,7/19/2025,Fall,23,2.93,6,1,9.765,0,42,Yes,No,1,54.8,Medium,1,7.59,4.277,0.977,4,80.6,10.335,32.44,0
36,Frozen,Supplier_J2,South,Medium,7/9/2025,Winter,0,1.61,2,1,1.87,0,30,Yes,No,5,70.6,Low,1,0,0.886,1.102,5,69.3,1.94,41.64,1
37,Dairy,Supplier_S1,South,Medium,7/28/2025,Spring,21,1.19,4,1,9.765,0,27,No,No,0,57.4,Low,1,16.28,4.277,0.748,22,87.1,10.335,79.01,0
38,Personal Care,Supplier_P1,North,Medium,7/5/2025,Fall,55,8.88,60,3,9.765,0,91,No,No,0,80.4,Low,0,6.12,1.505,0.975,26,74,10.335,53.18,0
39,Canned Goods,Supplier_R1,North,Small,8/17/2025,Winter,31,0.56,2,3,1.32,0,37,Yes,No,3,77.2,Medium,0,22.535,1.245,0.807,6,87.9,1.56,68.12,0
40,Personal Care,Supplier_I1,West,Small,7/23/2025,Fall,32,1.72,6,3,2.65,0,56,Yes,No,0,68,High,0,17.58,1.194,1.058,28,62,2.69,47.84,0
41,Beverages,Supplier_L1,East,Medium,8/27/2025,Winter,63,8.62,35,2,3.84,0,104.5,No,No,0,79.2,Low,0,11.12,0.421,1.173,11,70,4.42,53.17,0
42,Dairy,Supplier_P1,Central,Small,8/9/2025,Summer,14,1.08,10,3,1.67,0,26,No,No,2,68.9,Low,1,11.86,1.057,0.975,33,94.1,1.52,47.76,0
43,Bakery,Supplier_P2,Central,Medium,8/2/2025,Summer,25,2.81,7,2,4.37,0,37,No,No,3,60.2,Medium,1,8.59,1.32,0.94,9,64.6,4.72,61.26,0
44,Canned Goods,Supplier_Q2,Central,Medium,7/28/2025,Summer,14,1.04,7,2,3.63,0,17,Yes,No,1,58,High,0,12.28,2.357,1.123,33,77.6,3.48,40.11,0
45,Snacks,Supplier_N1,Central,Small,7/2/2025,Spring,22,1.83,18,5,5.38,0,31,No,No,3,48.4,Low,0,11.4,2.309,1.198,21,79.6,5.05,52.17,0
46,Produce,Supplier_S2,North,Large,7/10/2025,Summer,50,8.98,34,2,3.34,0,60,No,No,1,82.9,Medium,1,5.51,0.352,0.983,19,81.1,3.76,33.68,1
47,Produce,Supplier_G1,West,Medium,7/17/2025,Winter,17,0.97,2,1,3.92,0,28,No,No,4,46.8,Low,1,15.89,2.667,1.105,31,83.6,3.5,50.01,0
48,Meat,Supplier_C2,North,Medium,6/23/2025,Winter,19,3.87,10,2,1.72,0,47,No,No,0,66.1,Medium,1,4.79,0.394,1.058,27,90.8,1.7,71.03,0
