camera_id,age_days,daily_usage_hours,avg_temperature_c,avg_humidity_percent,vibration_level,signal_strength_dbm,avg_power_consumption_w,firmware_version,camera_type,location_type,manufacturer,weather_exposure,needs_maintenance
CAM_033553,119,990,33.2,68.8,0.39,-55.3,12.0,7,PTZ,Outdoor_Commercial,Axis,Medium,0
CAM_009427,678,1025,16.9,73.6,0.55,-57.8,14.0,8,Bullet,Warehouse,Axis,Medium,0
CAM_000199,552,1056,22.6,72.2,0.05,-52.0,13.6,3,Thermal,Indoor,Bosch,High,0
CAM_012447,2329,1033,25.9,77.5,0.45,-52.8,16.7,10,Bullet,Indoor,Axis,Medium,0
CAM_039489,339,1041,23.8,92.2,0.29,-52.8,14.9,7,Bullet,Indoor,Dahua,High,0
CAM_042724,393,953,15.3,51.8,0.01,-49.3,13.4,1,Bullet,Outdoor_Residential,Dahua,Medium,0
CAM_010822,1128,1034,27.6,45.9,0.23,-50.7,11.0,7,Dome,Indoor,Dahua,Low,0
CAM_049498,159,996,9.0,86.2,0.35,-56.5,12.2,10,PTZ,Warehouse,Dahua,Low,0
CAM_004144,914,933,14.3,82.6,0.37,-45.0,13.8,6,Bullet,Indoor,Dahua,Low,0
CAM_036958,106,1018,28.8,61.3,0.06,-54.9,13.9,2,Bullet,Outdoor_Commercial,Dahua,Medium,0
CAM_043106,114,1000,27.4,72.1,0.81,-60.5,15.6,10,Dome,Outdoor_Commercial,Hikvision,Low,0
CAM_038695,915,1006,30.0,75.3,0.06,-53.4,13.2,7,Dome,Outdoor_Residential,Bosch,Medium,0
CAM_006188,53,972,19.6,78.9,0.05,-46.5,10.6,4,Thermal,Outdoor_Residential,Bosch,Low,0
CAM_001414,276,1031,20.1,57.9,0.16,-48.2,15.0,4,Bullet,Indoor,Dahua,Medium,0
CAM_018471,676,1039,16.3,62.7,0.62,-57.8,17.4,1,Dome,Outdoor_Residential,Hikvision,Low,0
CAM_029282,725,976,16.1,83.9,0.03,-38.5,17.9,8,Dome,Indoor,Axis,High,0
CAM_015177,124,1007,33.9,60.6,0.34,-62.7,5.0,1,Bullet,Outdoor_Commercial,Dahua,Low,0
CAM_034304,636,1069,19.2,70.7,0.03,-51.5,13.9,1,Dome,Indoor,Bosch,Medium,0
CAM_012609,807,1056,11.9,72.0,0.48,-54.2,21.8,2,Bullet,Indoor,Hikvision,Low,0
CAM_012144,234,1055,17.8,61.2,0.16,-70.8,16.2,1,Thermal,Indoor,Hikvision,High,0
CAM_006113,287,951,11.5,48.6,0.87,-61.5,7.0,2,Bullet,Outdoor_Residential,Dahua,Low,0
CAM_015908,83,909,22.1,32.6,0.13,-57.6,16.5,10,PTZ,Warehouse,Dahua,High,0
CAM_000821,1,951,21.4,57.3,0.56,-68.0,15.1,4,PTZ,Indoor,Hikvision,Medium,0
CAM_015118,21,1063,31.2,58.2,0.46,-58.1,19.7,1,Thermal,Indoor,Dahua,Medium,0
CAM_013466,275,996,31.6,65.7,0.14,-62.2,21.0,1,Dome,Warehouse,Axis,High,1
CAM_026497,49,1026,14.6,67.8,0.04,-64.5,11.5,5,Dome,Outdoor_Residential,Axis,High,0
CAM_042111,459,1036,11.9,59.8,0.43,-46.8,14.2,2,Bullet,Outdoor_Residential,Dahua,High,0
CAM_030188,539,1068,32.2,71.4,0.06,-52.9,12.7,4,Bullet,Indoor,Dahua,Low,0
CAM_037237,551,978,11.7,78.5,0.7,-47.7,13.8,9,Thermal,Outdoor_Commercial,Hikvision,Medium,0
